ID,Father,Mother
Makan,Silvester,Bajka
Tereza,Simon,Fauna
Vassa,Gransit,Visla
Ulania,Bolat,Medea
Natasha,Hasil,Tina
Gena,Bergen,Lena
Ashnai,Gino,Anuschka
Ewald,Peter,Dalaj
Bella,Marwell,Ledal
Fanny,Stani,Leila
Sima,Quido,Senda
Monschura,Moroz,Medina
Sjilka,Bochin,Tsagaan
Ymca,Nick,Queen
Klara,Titan0,Ulita
Brutus,Surov,Afra
Arkus,Surov,Pendi
Zora,Nick,Queen
Falco,Venzel,Cora
Caroline,Barbar,Katrin
Maros,Vysokaja,Vassa
Apor,Ataman,Ashnai
Almos,Gino,Monschura
Arka,Quido,Sima
Gus,Dino,Gobi
Uranus,Dino,Ulgi
Emy,Titan0,Tereza
Bendeguz,Makan,Bella
Csilla,Makan,Bella
Csenge,Brutus,Sjilka
Csongor,Brutus,Ashnai
Csini,Maros,Fanny
Adel,Vysokaja,Vassa
Dalma,Arkus,Klara
Dorottya,Arkus,Monschura
Gavora,Xeron,Tereza
Dorka,Arkus,Arka
Delibab,Arkus,Sjilka
Derce,Arkus,Zora
Deli,Arkus,Sima
Dicso,Arkus,Ashnai
Duhaj,Arkus,Fanny
Elod,Arkus,Sjilka
Ede,Arkus,Zora
Egyed,Arkus,Sima
Eper,Makan,Arka
Ecser,Brutus,Ulania
Emese,Apor,Csilla
Enok,Arkus,Ashnai
Epona,Maros,Csenge
Ekes,Maros,Fanny
Emo,Maros,Klara
Furge,Maros,Zora
Fsoos,Apor,Vassa
Felix,Arkus,Sjilka
Prinz,Dino,Gobi
Farkas,Apor,Arka
Fulop,Apor,Ashnai
Fako,Apor,Sima
Fergeteg,Maros,Csilla
Fderce,Apor,Derce
Felho,Maros,Fanny
Flora,Apor,Klara
Gizella,Bendeguz,Dicso
Gabris,Bendeguz,Dorka
Greta,Apor,Arka
Gerda,Artex,Caroline
Geza,Apor,Ashnai
Gambrinus,Bendeguz,Dalma
Galagonya,Gus,Eper
Gyongy,Arkus,Sjilka
Gaspar,Maros,Zora
GDerce,Apor,Derce
Gerle,Apor,Csenge
Gyula,Maros,Fanny
Harmat,Apor,Klara
Helka,Bendeguz,Epona
Hernad,Apor,Vassa
Horka,Maros,Csilla
Hajmas,Apor,Sima
Hadur,Bendeguz,Dicso
Heteny,Bendeguz,Dorka
Harkany,Apor,Arka
Huba,Bendeguz,Emo
Hollo,Bendeguz,Dalma
Hanga,Arkus,Sjilka
Hargita,Maros,Zora
Hovirag,Apor,Ashnai
Honorka,Arkus,Derce
Hanzar,Gus,Emese
Himes,Apor,Csenge
Heja,Maros,Fanny
Helena,Dino,Gobi
Ipoly,Gus,Flora
Ibolya,Bendeguz,Dicso
Iringo,Bendeguz,Eper
Iszalag,Bendeguz,Epona
Igar,Apor,Arka
Inas,Bendeguz,Emo
Imola,Maros,Csilla
Irha,Bendeguz,Dalma
Igezo,Bendeguz,Dorka
Iashnai,Apor,Ashnai
Illego,Gus,Emese
Illes,Apor,Derce
Jeno,Bendeguz,Dicso
Jenke,Gus,Klara
Jfelho,Gus,Felho
Jgalagonya,Gus,Galagonya
Jepona,Gus,Epona
Jazmin,Bendeguz,Emo
Joghurt,Duhaj,Arka
Jusztus,Csongor,Fanny
Jasz,Delibab,Gerle
Jacint,Bendeguz,Dorka
Jakab,Elod,Csilla
Jank,Bendeguz,Greta
Jegenye,Bendeguz,Eper
Jgizella,Gus,Gizella
Jdalma,Bendeguz,Dalma
Jos,Gus,Ashnai
Juhar,Duhaj,Vassa
Jemese,Gus,Emese
Janko,Gus,Flora
Jellem,Duhaj,Csenge
Jaspis,Apor,Derce
Kecses,Egyed,Felho
Kankalin,Duhaj,Dicso
Kharmat,Gus,Harmat
Khelka,Elod,Helka
Kitan,Bendeguz,Epona
Kond,Bendeguz,Emo
Karka,Duhaj,Arka
Kalandor,Duhaj,Himes
Kincso,Ecser,Hovirag
Koppany,Duhaj,Gerle
Kisasszony,Bendeguz,Dorka
Katica,Csongor,Galagonya
Kerecsen,Egyed,Gizella
Kende,Csongor,Fanny
Khonorka,Elod,Honorka
Keszi,Bendeguz,Greta
Kuvik,Bendeguz,Eper
Kanya,Bendeguz,Dalma
Kala,Apor,Sjilka
Kokeny,Elod,Csilla
Kemese,Egyed,Emese
Kikerics,Csongor,Hargita
Kira,Apor,Derce
Kristaly,Egyed,Flora
Kicsi,Egyed,Klara
Kati,Egyed,Ashnai
Kaloz,Prinz,Caroline
Kope,Csongor,Zora
Gagarin,Askold,Djamila
Luca,Prinz,Ymca
Leander,Bendeguz,Epona
Lili,Prinz,Gerda
Lharmat,Egyed,Harmat
Liliom,Fsoos,Helka
Levente,Ekes,Iszalag
Levendula,Prinz,Emy
Lepke,Csongor,Galagonya
