kor,gyerek,vez_hossz,átl. háremn,átl. kin
1274,3,717,4.8,0.1469766666666667
2079,13,47,7.0,0.12544285714285716
2023,16,578,8.0,0.1467
1142,31,92,8.0,0.171875
2796,13,151,8.5,0.1457923611111111
1385,31,1302,7.076923076923077,0.1776992673992674
1874,25,126,6.0,0.17379999999999995
1722,4,157,5.0,0.17068000000000003
1710,10,728,3.5,0.17518708333333333
2585,17,1105,4.6,0.22195000000000004
3194,12,73,6.0,0.13255
2333,8,101,7.0,0.2183142857142857
2046,20,3278,5.416666666666667,0.21919358465608463
2655,0,0,3.0,0.18053333333333332
4510,3,633,1.3333333333333333,0.13825
1976,16,0,1.0,0.1396
2947,13,1496,3.1333333333333333,0.12532833333333332
2068,25,2178,4.823529411764706,0.1637617156862745
3215,13,2552,2.857142857142857,0.19204785714285708
2966,16,0,3.0,0.1428
1236,37,1922,5.15,0.16899535714285718
2426,4,648,4.6,0.17076933333333336
1669,0,98,1.0,0.1966
3338,16,934,2.2,0.16697333333333333
2195,14,1004,3.5454545454545454,0.15112590909090906
1857,17,1046,7.285714285714286,0.17561020408163266
3122,10,421,3.5,0.176535
2248,8,1360,5.0,0.19917666666666664
2129,1,0,3.0,0.17863333333333334
2813,31,0,1.0,0.1665
2881,31,2368,2.0,0.16902500000000004
1513,4,638,3.142857142857143,0.2055292517006803
1792,22,90,7.0,0.19897142857142858
2089,12,684,5.0,0.17679999999999998
2513,26,1609,6.933333333333334,0.20624474074074076
2331,8,1525,5.294117647058823,0.22708577030812324
1946,17,0,0.0,nan
2081,17,0,0.0,nan
1732,0,245,1.0,0.1644
2098,17,0,0.0,nan
2223,17,103,1.0,0.2195
2245,4,103,1.5,0.136925
2027,2,181,2.0,0.1549
3339,37,762,4.5,0.17344374999999998
2200,19,1531,5.285714285714286,0.19508666666666663
2597,15,2089,4.956521739130435,0.17229990338164253
1707,39,2474,6.35,0.16027702579365077
4123,11,47,9.0,0.21334444444444445
4228,39,2042,3.9545454545454546,0.157295101010101
3249,37,0,1.0,0.1732
2495,17,0,1.0,0.1706
2438,10,0,0.0,nan
1882,22,1455,3.5555555555555554,0.1770027777777778
2581,32,96,5.0,0.18368
3037,9,79,9.0,0.1676111111111111
5328,31,465,3.6666666666666665,0.11862027777777777
2818,10,87,1.0,0.1783
2195,20,1715,5.9375,0.14264815228174604
3941,14,0,1.0,0.1608
2296,26,0,1.0,0.1506
2538,13,78,2.0,0.19014999999999999
2248,9,693,2.1666666666666665,0.14520833333333336
2038,1,421,1.0,0.1432
2231,32,256,1.25,0.1802125
1842,9,0,1.0,0.1413
2970,2,0,2.0,0.1776
2981,17,0,2.0,0.1499
2851,12,0,1.0,0.138
2592,11,1425,2.9285714285714284,0.1701547619047619
2628,8,891,2.6,0.20838666666666666
3151,8,1294,2.230769230769231,0.15216923076923078
